"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Diseases of the nervous system","G00-G98","Female","F","Aug., 2021","2021/08",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Sep., 2021","2021/09",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Oct., 2021","2021/10",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Nov., 2021","2021/11",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Female","F","Dec., 2021","2021/12",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Jan., 2021","2021/01",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Feb., 2021","2021/02",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Mar., 2021","2021/03",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Apr., 2021","2021/04",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","May, 2021","2021/05",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Jun., 2021","2021/06",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Jul., 2021","2021/07",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Aug., 2021","2021/08",76,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Sep., 2021","2021/09",95,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Oct., 2021","2021/10",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Nov., 2021","2021/11",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the nervous system","G00-G98","Male","M","Dec., 2021","2021/12",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Apr., 2021","2021/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Aug., 2021","2021/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Female","F","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
